Gene	Sample	RPKM
AACS	Adult-SI	20.7212
AACS	D4CF	7.80681
AACS	ESC	16.6658
AACS	Endo	14.4628
AACS	Fetal-SI	9.21119
AAGAB	Adult-SI	20.6061
AAGAB	D4CF	37.5116
AAGAB	ESC	31.3765
AAGAB	Endo	51.5503
AAGAB	Fetal-SI	11.9768
AARS2	Adult-SI	6.32131
AARS2	D4CF	5.33827
AARS2	ESC	5.09774
AARS2	Endo	5.21632
AARS2	Fetal-SI	7.52688
AATK	Adult-SI	48.4857
AATK	D4CF	0.0624294
AATK	ESC	0.0781299
AATK	Endo	0.0460926
AATK	Fetal-SI	28.3703
AATK-AS1	Adult-SI	0.0269582
AATK-AS1	D4CF	0.0124423
AATK-AS1	ESC	0.051694
AATK-AS1	Endo	0
AATK-AS1	Fetal-SI	0.3231
ABCB11	Adult-SI	0
ABCB11	D4CF	0.0275563
ABCB11	ESC	0
ABCB11	Endo	0.00616561
ABCB11	Fetal-SI	0.141726
ABHD1	Adult-SI	0.0298266
ABHD1	D4CF	0.103677
ABHD1	ESC	0.138175
ABHD1	Endo	0.125641
ABHD1	Fetal-SI	0.253715
ABHD6	Adult-SI	25.6644
ABHD6	D4CF	3.50059
ABHD6	ESC	2.66661
ABHD6	Endo	6.37622
ABHD6	Fetal-SI	13.3541
ACBD3	Adult-SI	17.0556
ACBD3	D4CF	24.9881
ACBD3	ESC	19.2848
ACBD3	Endo	31.4706
ACBD3	Fetal-SI	22.1401
ACBD4	Adult-SI	141.002
ACBD4	D4CF	0.985962
ACBD4	ESC	2.56869
ACBD4	Endo	1.37112
ACBD4	Fetal-SI	8.49861
ACER2	Adult-SI	1.00742
ACER2	D4CF	2.29761
ACER2	ESC	4.47725
ACER2	Endo	1.1012
ACER2	Fetal-SI	2.69027
ACLY	Adult-SI	45.1015
ACLY	D4CF	106.018
ACLY	ESC	158.615
ACLY	Endo	99.7264
ACLY	Fetal-SI	37.3022
ACSM2A	Adult-SI	0.0400722
ACSM2A	D4CF	0
ACSM2A	ESC	0
ACSM2A	Endo	0
ACSM2A	Fetal-SI	0.0171993
ACSM2B	Adult-SI	0
ACSM2B	D4CF	0
ACSM2B	ESC	0
ACSM2B	Endo	0
ACSM2B	Fetal-SI	0.0464495
ADAM33	Adult-SI	2.06022
ADAM33	D4CF	0.435247
ADAM33	ESC	1.35607
ADAM33	Endo	0.770616
ADAM33	Fetal-SI	7.28483
ADAMTS12	Adult-SI	0.0619885
ADAMTS12	D4CF	3.75153
ADAMTS12	ESC	2.7457
ADAMTS12	Endo	3.2235
ADAMTS12	Fetal-SI	1.6215
ADAMTS14	Adult-SI	0.982098
ADAMTS14	D4CF	0.0464598
ADAMTS14	ESC	0.463598
ADAMTS14	Endo	0.0441877
ADAMTS14	Fetal-SI	4.56716
ADCY7	Adult-SI	1.20213
ADCY7	D4CF	3.91065
ADCY7	ESC	2.53357
ADCY7	Endo	5.70389
ADCY7	Fetal-SI	4.24813
ADH6	Adult-SI	42.8046
ADH6	D4CF	0.277716
ADH6	ESC	0.388444
ADH6	Endo	0.63548
ADH6	Fetal-SI	2.54065
ADORA2A	Adult-SI	2.32395
ADORA2A	D4CF	0.379573
ADORA2A	ESC	1.43182
ADORA2A	Endo	0.587359
ADORA2A	Fetal-SI	4.18778
ADRB1	Adult-SI	0.514631
ADRB1	D4CF	0.75073
ADRB1	ESC	0.0235764
ADRB1	Endo	0
ADRB1	Fetal-SI	0.531191
ADRBK1	Adult-SI	81.5095
ADRBK1	D4CF	9.37423
ADRBK1	ESC	8.93211
ADRBK1	Endo	8.66878
ADRBK1	Fetal-SI	38.2039
AFP	Adult-SI	0.0404164
AFP	D4CF	0.0186907
AFP	ESC	2.03519
AFP	Endo	0.174487
AFP	Fetal-SI	111.228
AHSG	Adult-SI	0
AHSG	D4CF	0.0409328
AHSG	ESC	0.0808611
AHSG	Endo	0
AHSG	Fetal-SI	5.88145
AK4	Adult-SI	1.35906
AK4	D4CF	17.4216
AK4	ESC	26.6778
AK4	Endo	11.8904
AK4	Fetal-SI	11.6038
AKAP4	Adult-SI	0
AKAP4	D4CF	0.0191566
AKAP4	ESC	0.0134179
AKAP4	Endo	0
AKAP4	Fetal-SI	0.0521333
AKAP6	Adult-SI	0.621899
AKAP6	D4CF	0.686077
AKAP6	ESC	0.119841
AKAP6	Endo	0.530862
AKAP6	Fetal-SI	2.9579
AKNA	Adult-SI	5.56451
AKNA	D4CF	1.56404
AKNA	ESC	3.19982
AKNA	Endo	0.721109
AKNA	Fetal-SI	5.93639
AKR1B15	Adult-SI	3.5145
AKR1B15	D4CF	0.0236122
AKR1B15	ESC	0.161688
AKR1B15	Endo	0.0181596
AKR1B15	Fetal-SI	0
AKR1C3	Adult-SI	363.162
AKR1C3	D4CF	0.235796
AKR1C3	ESC	2.28709
AKR1C3	Endo	4.51634
AKR1C3	Fetal-SI	2.89003
AKR7A2P1	Adult-SI	0.0662146
AKR7A2P1	D4CF	0.979949
AKR7A2P1	ESC	2.25594
AKR7A2P1	Endo	1.79325
AKR7A2P1	Fetal-SI	1.97843
AKT1	Adult-SI	66.3142
AKT1	D4CF	24.1671
AKT1	ESC	18.0621
AKT1	Endo	28.6444
AKT1	Fetal-SI	48.7196
ALAD	Adult-SI	48.5391
ALAD	D4CF	7.07799
ALAD	ESC	6.26665
ALAD	Endo	45.4437
ALAD	Fetal-SI	17.2872
ALB	Adult-SI	0.0180702
ALB	D4CF	0.0080645
ALB	ESC	0.0583719
ALB	Endo	0.159456
ALB	Fetal-SI	53.7984
ALDH8A1	Adult-SI	0.660634
ALDH8A1	D4CF	0.0933647
ALDH8A1	ESC	0.0797641
ALDH8A1	Endo	0.154294
ALDH8A1	Fetal-SI	0.381082
ALMS1P	Adult-SI	0.0799937
ALMS1P	D4CF	0.0522165
ALMS1P	ESC	0.0599063
ALMS1P	Endo	0.0150378
ALMS1P	Fetal-SI	0.158321
ALS2CL	Adult-SI	49.0627
ALS2CL	D4CF	0.0446529
ALS2CL	ESC	1.30536
ALS2CL	Endo	1.27747
ALS2CL	Fetal-SI	11.0241
AMHR2	Adult-SI	0.0269374
AMHR2	D4CF	0.320999
AMHR2	ESC	0
AMHR2	Endo	1.23034
AMHR2	Fetal-SI	2.10484
AMOT	Adult-SI	4.3538
AMOT	D4CF	12.6134
AMOT	ESC	5.85582
AMOT	Endo	8.41728
AMOT	Fetal-SI	11.6962
ANGPTL1	Adult-SI	5.65537
ANGPTL1	D4CF	0.0693297
ANGPTL1	ESC	0.118044
ANGPTL1	Endo	0.113782
ANGPTL1	Fetal-SI	1.10213
ANKMY1	Adult-SI	2.53971
ANKMY1	D4CF	0.932032
ANKMY1	ESC	0.508878
ANKMY1	Endo	0.736472
ANKMY1	Fetal-SI	2.74116
ANKRD13A	Adult-SI	19.2215
ANKRD13A	D4CF	8.87569
ANKRD13A	ESC	7.243
ANKRD13A	Endo	19.1531
ANKRD13A	Fetal-SI	11.6435
ANKRD13B	Adult-SI	1.07751
ANKRD13B	D4CF	2.88862
ANKRD13B	ESC	8.52542
ANKRD13B	Endo	0.148729
ANKRD13B	Fetal-SI	2.89197
ANKRD20A3	Adult-SI	0
ANKRD20A3	Adult-SI	0.0111401
ANKRD20A3	D4CF	0
ANKRD20A3	D4CF	0.00927106
ANKRD20A3	ESC	0
ANKRD20A3	Endo	0
ANKRD20A3	Fetal-SI	0
ANKRD20A3	Fetal-SI	0.00685838
ANKRD20A3	Fetal-SI	0.00979126
ANKRD20A4	Adult-SI	0.220959
ANKRD20A4	D4CF	0
ANKRD20A4	ESC	0
ANKRD20A4	Endo	0.0203894
ANKRD20A4	Fetal-SI	0.077942
ANO7	Adult-SI	3.5878
ANO7	D4CF	0.217796
ANO7	ESC	0.388222
ANO7	Endo	0.377728
ANO7	Fetal-SI	11.2021
ANXA2P2	Adult-SI	972.279
ANXA2P2	D4CF	54.8166
ANXA2P2	ESC	38.4775
ANXA2P2	Endo	133.718
ANXA2P2	Fetal-SI	111.036
AP1S1	Adult-SI	60.4749
AP1S1	D4CF	47.0423
AP1S1	ESC	34.7979
AP1S1	Endo	14.848
AP1S1	Fetal-SI	27.6281
AP2A1	Adult-SI	28.8273
AP2A1	D4CF	15.0358
AP2A1	ESC	19.9823
AP2A1	Endo	18.2845
AP2A1	Fetal-SI	26.5875
APLP1	Adult-SI	1.47903
APLP1	D4CF	14.4428
APLP1	ESC	6.01197
APLP1	Endo	4.62599
APLP1	Fetal-SI	10.2451
APOB	Adult-SI	116.391
APOB	D4CF	0.0748054
APOB	ESC	0.375115
APOB	Endo	0.154283
APOB	Fetal-SI	364.992
AQP12A	Adult-SI	0
AQP12A	D4CF	0
AQP12A	ESC	0
AQP12A	Endo	0
AQP12A	Fetal-SI	0.0598034
AQP12B	Adult-SI	0.122518
AQP12B	D4CF	0
AQP12B	ESC	0
AQP12B	Endo	0
AQP12B	Fetal-SI	0.832363
AQP8	Adult-SI	0.0335919
AQP8	D4CF	0
AQP8	ESC	0
AQP8	Endo	0
AQP8	Fetal-SI	10.9489
ARAP1	Adult-SI	25.2069
ARAP1	D4CF	3.68479
ARAP1	ESC	8.15137
ARAP1	Endo	7.57472
ARAP1	Fetal-SI	22.7569
ARC	Adult-SI	0.551868
ARC	D4CF	0.104972
ARC	ESC	1.21184
ARC	Endo	0.0540009
ARC	Fetal-SI	0.933412
ARFGAP1	Adult-SI	68.2667
ARFGAP1	D4CF	6.81759
ARFGAP1	ESC	9.73345
ARFGAP1	Endo	11.2248
ARFGAP1	Fetal-SI	22.5242
ARHGEF18	Adult-SI	19.8678
ARHGEF18	D4CF	4.2277
ARHGEF18	ESC	5.16466
ARHGEF18	Endo	5.65697
ARHGEF18	Fetal-SI	15.738
ARHGEF26	Adult-SI	6.3317
ARHGEF26	D4CF	4.76726
ARHGEF26	ESC	6.00431
ARHGEF26	Endo	3.5217
ARHGEF26	Fetal-SI	4.61302
ARHGEF26-AS1	Adult-SI	0.0313196
ARHGEF26-AS1	D4CF	0.17306
ARHGEF26-AS1	ESC	0.0930871
ARHGEF26-AS1	Endo	0
ARHGEF26-AS1	Fetal-SI	0.134775
ARID5A	Adult-SI	7.62571
ARID5A	D4CF	0.58833
ARID5A	ESC	0.39454
ARID5A	Endo	0.273091
ARID5A	Fetal-SI	3.55278
ARL6IP4	Adult-SI	240.525
ARL6IP4	D4CF	31.8594
ARL6IP4	ESC	19.1682
ARL6IP4	Endo	25.2341
ARL6IP4	Fetal-SI	67.5721
ARNT2	Adult-SI	1.08813
ARNT2	D4CF	9.41504
ARNT2	ESC	5.48184
ARNT2	Endo	3.39688
ARNT2	Fetal-SI	4.47582
ASAP1-IT1	Adult-SI	0
ASAP1-IT1	D4CF	0
ASAP1-IT1	ESC	0.0327909
ASAP1-IT1	Endo	0.189523
ASAP1-IT1	Fetal-SI	0
ASB11	Adult-SI	0.0145582
ASB11	D4CF	0
ASB11	ESC	0
ASB11	Endo	0
ASB11	Fetal-SI	0
ASB2	Adult-SI	2.60882
ASB2	D4CF	0.0110139
ASB2	ESC	0.31896
ASB2	Endo	0.0875394
ASB2	Fetal-SI	6.02505
ASB4	Adult-SI	0
ASB4	D4CF	0.0181861
ASB4	ESC	0
ASB4	Endo	0
ASB4	Fetal-SI	0.0590032
ASCL1	Adult-SI	0.171294
ASCL1	D4CF	0.787935
ASCL1	ESC	0.0408403
ASCL1	Endo	0
ASCL1	Fetal-SI	6.04509
ASGR1	Adult-SI	1.5564
ASGR1	D4CF	1.34794
ASGR1	ESC	1.13699
ASGR1	Endo	0.553731
ASGR1	Fetal-SI	1.68932
ASTL	Adult-SI	0.0339647
ASTL	D4CF	0.0156439
ASTL	ESC	0.107247
ASTL	Endo	0.0191139
ASTL	Fetal-SI	0.085585
ATCAY	Adult-SI	1.11205
ATCAY	D4CF	1.77073
ATCAY	ESC	12.5843
ATCAY	Endo	0.807365
ATCAY	Fetal-SI	3.36708
ATHL1	Adult-SI	106.893
ATHL1	D4CF	1.761
ATHL1	ESC	6.21594
ATHL1	Endo	8.97527
ATHL1	Fetal-SI	19.6261
ATMIN	Adult-SI	15.625
ATMIN	D4CF	26.7244
ATMIN	ESC	31.4525
ATMIN	Endo	34.9105
ATMIN	Fetal-SI	12.4312
ATP1A2	Adult-SI	1.54109
ATP1A2	D4CF	20.4975
ATP1A2	ESC	15.2742
ATP1A2	Endo	0.405925
ATP1A2	Fetal-SI	3.08554
ATP1B2	Adult-SI	0.448821
ATP1B2	D4CF	4.39353
ATP1B2	ESC	6.40559
ATP1B2	Endo	2.56863
ATP1B2	Fetal-SI	3.77073
ATP2A3	Adult-SI	13.666
ATP2A3	D4CF	0.122013
ATP2A3	ESC	1.93334
ATP2A3	Endo	0.236974
ATP2A3	Fetal-SI	42.3057
ATP5EP2	Adult-SI	269.687
ATP5EP2	D4CF	95.6056
ATP5EP2	ESC	80.427
ATP5EP2	Endo	73.9218
ATP5EP2	Fetal-SI	168.73
ATP5O	Adult-SI	728.29
ATP5O	D4CF	439.055
ATP5O	ESC	377.308
ATP5O	Endo	303.417
ATP5O	Fetal-SI	122.425
ATRNL1	Adult-SI	0.159525
ATRNL1	D4CF	4.18426
ATRNL1	ESC	1.64578
ATRNL1	Endo	0.802522
ATRNL1	Fetal-SI	1.97152
AXIN2	Adult-SI	3.32972
AXIN2	D4CF	51.2583
AXIN2	ESC	7.27
AXIN2	Endo	28.2487
AXIN2	Fetal-SI	5.1066
B3GALNT1	Adult-SI	1.36836
B3GALNT1	D4CF	0.0381568
B3GALNT1	ESC	6.05867
B3GALNT1	Endo	7.21346
B3GALNT1	Fetal-SI	5.76978
B3GALTL	Adult-SI	2.3203
B3GALTL	D4CF	6.3917
B3GALTL	ESC	3.8797
B3GALTL	Endo	14.8032
B3GALTL	Fetal-SI	3.81604
B4GALNT3	Adult-SI	1.18773
B4GALNT3	D4CF	3.18045
B4GALNT3	ESC	4.40945
B4GALNT3	Endo	20.1998
B4GALNT3	Fetal-SI	2.84149
B4GALNT4	Adult-SI	2.31997
B4GALNT4	D4CF	5.93954
B4GALNT4	ESC	7.49168
B4GALNT4	Endo	9.53964
B4GALNT4	Fetal-SI	6.87096
BAAT	Adult-SI	0.0337602
BAAT	D4CF	0.0829004
BAAT	ESC	0.225809
BAAT	Endo	0.126275
BAAT	Fetal-SI	0.641992
BACE1-AS	Adult-SI	1.01097
BACE1-AS	D4CF	3.96051
BACE1-AS	ESC	5.26414
BACE1-AS	Endo	6.16301
BACE1-AS	Fetal-SI	3.29412
BAHD1	Adult-SI	10.5793
BAHD1	D4CF	7.03187
BAHD1	ESC	10.3095
BAHD1	Endo	6.70438
BAHD1	Fetal-SI	14.3786
BCCIP	Adult-SI	48.3775
BCCIP	D4CF	119.614
BCCIP	ESC	129.547
BCCIP	Endo	91.4354
BCCIP	Fetal-SI	24.7251
BEND5	Adult-SI	2.08767
BEND5	D4CF	7.08686
BEND5	ESC	2.23953
BEND5	Endo	1.63499
BEND5	Fetal-SI	4.4883
BEST3	Adult-SI	0.0137868
BEST3	D4CF	0
BEST3	ESC	0.0199441
BEST3	Endo	0.0078037
BEST3	Fetal-SI	0.0497121
BEST4	Adult-SI	10.8888
BEST4	D4CF	0.24122
BEST4	ESC	1.1213
BEST4	Endo	0.415736
BEST4	Fetal-SI	14.5604
BGN	Adult-SI	9.75361
BGN	D4CF	16.175
BGN	ESC	0.68855
BGN	Endo	0.149697
BGN	Fetal-SI	11.3552
BHMT	Adult-SI	0.357471
BHMT	D4CF	0.415257
BHMT	ESC	1.23167
BHMT	Endo	0.0740613
BHMT	Fetal-SI	0.589399
BMP7	Adult-SI	0.443597
BMP7	D4CF	11.873
BMP7	ESC	1.25378
BMP7	Endo	5.29233
BMP7	Fetal-SI	3.25424
BPNT1	Adult-SI	59.8024
BPNT1	D4CF	16.5588
BPNT1	ESC	7.50919
BPNT1	Endo	7.52386
BPNT1	Fetal-SI	14.2338
BRD1	Adult-SI	14.254
BRD1	D4CF	7.77045
BRD1	ESC	8.18899
BRD1	Endo	11.4782
BRD1	Fetal-SI	16.7559
BRSK2	Adult-SI	0.558595
BRSK2	D4CF	0.940768
BRSK2	ESC	3.88462
BRSK2	Endo	1.29754
BRSK2	Fetal-SI	3.34799
BSPRY	Adult-SI	15.0605
BSPRY	D4CF	0.592507
BSPRY	ESC	2.53967
BSPRY	Endo	3.07913
BSPRY	Fetal-SI	5.64883
BTBD16	Adult-SI	0.294482
BTBD16	D4CF	0
BTBD16	ESC	0.019059
BTBD16	Endo	0
BTBD16	Fetal-SI	0.231508
BTF3P11	Adult-SI	0
BTF3P11	D4CF	0.0357118
BTF3P11	ESC	0.0359315
BTF3P11	Endo	0.0630088
BTF3P11	Fetal-SI	0
C10orf120	Adult-SI	0
C10orf120	D4CF	0
C10orf120	ESC	0
C10orf120	Endo	0
C10orf120	Fetal-SI	0
C10orf2	Adult-SI	3.69039
C10orf2	D4CF	10.0972
C10orf2	ESC	21.0465
C10orf2	Endo	9.21138
C10orf2	Fetal-SI	4.26353
C10orf99	Adult-SI	0.059888
C10orf99	D4CF	0.0273767
C10orf99	ESC	0
C10orf99	Endo	0
C10orf99	Fetal-SI	44.295
C12orf75	Adult-SI	26.0949
C12orf75	D4CF	34.7568
C12orf75	ESC	26.0512
C12orf75	Endo	24.1399
C12orf75	Fetal-SI	22.481
C14orf180	Adult-SI	1.07994
C14orf180	D4CF	0
C14orf180	ESC	0
C14orf180	Endo	0
C14orf180	Fetal-SI	0.0414422
C16orf74	Adult-SI	0.920035
C16orf74	D4CF	0.147905
C16orf74	ESC	0.764039
C16orf74	Endo	1.23775
C16orf74	Fetal-SI	2.54196
C17orf50	Adult-SI	0.0899851
C17orf50	D4CF	0
C17orf50	ESC	0
C17orf50	Endo	0
C17orf50	Fetal-SI	0.112232
C17orf70	Adult-SI	23.9959
C17orf70	D4CF	1.61279
C17orf70	ESC	1.96763
C17orf70	Endo	1.37332
C17orf70	Fetal-SI	11.1405
C1QTNF4	Adult-SI	3.02396
C1QTNF4	D4CF	0.255751
C1QTNF4	ESC	0.295679
C1QTNF4	Endo	0.0344999
C1QTNF4	Fetal-SI	3.76619
C1orf186	Adult-SI	1.09374
C1orf186	D4CF	0.0360258
C1orf186	ESC	0.0118981
C1orf186	Endo	0
C1orf186	Fetal-SI	0.233247
C1orf95	Adult-SI	3.97165
C1orf95	D4CF	0.0730357
C1orf95	ESC	0.222608
C1orf95	Endo	0.122892
C1orf95	Fetal-SI	2.94006
C21orf58	Adult-SI	1.60415
C21orf58	D4CF	2.06782
C21orf58	ESC	3.07521
C21orf58	Endo	1.76046
C21orf58	Fetal-SI	3.67696
C21orf62	Adult-SI	0.0293759
C21orf62	D4CF	0.10416
C21orf62	ESC	0
C21orf62	Endo	0.00685748
C21orf62	Fetal-SI	0.210374
C2CD4C	Adult-SI	1.40361
C2CD4C	D4CF	0.449098
C2CD4C	ESC	0.512415
C2CD4C	Endo	1.825
C2CD4C	Fetal-SI	1.88382
C2orf54	Adult-SI	7.32939
C2orf54	D4CF	0.032466
C2orf54	ESC	0.0316346
C2orf54	Endo	0.0147115
C2orf54	Fetal-SI	3.99995
C5orf63	Adult-SI	4.27123
C5orf63	D4CF	0
C5orf63	ESC	0.0823169
C5orf63	Endo	0.0454122
C5orf63	Fetal-SI	6.48626
C7orf43	Adult-SI	13.7782
C7orf43	D4CF	1.47311
C7orf43	ESC	2.82073
C7orf43	Endo	4.31648
C7orf43	Fetal-SI	10.0864
C8A	Adult-SI	1.30534
C8A	D4CF	0
C8A	ESC	0
C8A	Endo	0.0117938
C8A	Fetal-SI	0.132066
C8B	Adult-SI	0
C8B	D4CF	0
C8B	ESC	0.0080606
C8B	Endo	0
C8B	Fetal-SI	0.0550338
C9orf84	Adult-SI	0.118424
C9orf84	D4CF	0.0185257
C9orf84	ESC	0.0214335
C9orf84	Endo	0.130287
C9orf84	Fetal-SI	0.0739536
CA7	Adult-SI	46.7999
CA7	D4CF	0
CA7	ESC	0.447278
CA7	Endo	0.0382839
CA7	Fetal-SI	26.0369
CABLES1	Adult-SI	6.67451
CABLES1	D4CF	6.36699
CABLES1	ESC	5.28386
CABLES1	Endo	2.86985
CABLES1	Fetal-SI	4.07596
CACNA1C	Adult-SI	0.480917
CACNA1C	D4CF	0.0806404
CACNA1C	ESC	0.276217
CACNA1C	Endo	0.16725
CACNA1C	Fetal-SI	2.18428
CACNA1E	Adult-SI	0.0249973
CACNA1E	D4CF	0.110158
CACNA1E	ESC	0.192582
CACNA1E	Endo	0.0344643
CACNA1E	Fetal-SI	0.999422
CACNA1G	Adult-SI	0.0148652
CACNA1G	D4CF	0.193249
CACNA1G	ESC	0.512605
CACNA1G	Endo	0.341093
CACNA1G	Fetal-SI	1.70279
CACNB4	Adult-SI	0.102925
CACNB4	D4CF	1.01014
CACNB4	ESC	1.03816
CACNB4	Endo	0.193311
CACNB4	Fetal-SI	0.531465
CAMSAP3	Adult-SI	35.6454
CAMSAP3	D4CF	1.08926
CAMSAP3	ESC	2.86655
CAMSAP3	Endo	3.28101
CAMSAP3	Fetal-SI	27.7413
CAPN11	Adult-SI	0.0292234
CAPN11	D4CF	0.0466563
CAPN11	ESC	0.44674
CAPN11	Endo	0.0802891
CAPN11	Fetal-SI	0
CARD16	Adult-SI	39.683
CARD16	D4CF	0
CARD16	ESC	0
CARD16	Endo	0
CARD16	Fetal-SI	4.87467
CARD9	Adult-SI	1.31613
CARD9	D4CF	0.0334554
CARD9	ESC	0.0486524
CARD9	Endo	0.0129631
CARD9	Fetal-SI	1.23381
CARM1	Adult-SI	25.59
CARM1	D4CF	29.4794
CARM1	ESC	46.7454
CARM1	Endo	29.899
CARM1	Fetal-SI	21.727
CASC5	Adult-SI	1.00904
CASC5	D4CF	10.1359
CASC5	ESC	9.18421
CASC5	Endo	12.5195
CASC5	Fetal-SI	3.06308
CBX8	Adult-SI	5.77733
CBX8	D4CF	1.63145
CBX8	ESC	0.146762
CBX8	Endo	1.19641
CBX8	Fetal-SI	5.03484
CC2D1B	Adult-SI	9.78355
CC2D1B	D4CF	2.49598
CC2D1B	ESC	3.48569
CC2D1B	Endo	6.7721
CC2D1B	Fetal-SI	6.72668
CCDC108	Adult-SI	0.120821
CCDC108	D4CF	0.135714
CCDC108	ESC	0.142157
CCDC108	Endo	0.271573
CCDC108	Fetal-SI	0.803376
CCDC115	Adult-SI	42.6609
CCDC115	D4CF	10.8363
CCDC115	ESC	11.1575
CCDC115	Endo	10.4244
CCDC115	Fetal-SI	23.7015
CCDC129	Adult-SI	0.0538536
CCDC129	D4CF	0.0350174
CCDC129	ESC	0.151635
CCDC129	Endo	0.52589
CCDC129	Fetal-SI	0.0297968
CCDC153	Adult-SI	0.870478
CCDC153	D4CF	0.341208
CCDC153	ESC	0.492057
CCDC153	Endo	1.15113
CCDC153	Fetal-SI	1.56165
CCDC64B	Adult-SI	36.8045
CCDC64B	D4CF	0
CCDC64B	ESC	0.543779
CCDC64B	Endo	0.217307
CCDC64B	Fetal-SI	11.2101
CCDC65	Adult-SI	0.0688458
CCDC65	D4CF	0.573458
CCDC65	ESC	0.791717
CCDC65	Endo	1.20284
CCDC65	Fetal-SI	0.696406
CCDC74A	Adult-SI	0.384312
CCDC74A	D4CF	2.88189
CCDC74A	ESC	2.25237
CCDC74A	Endo	1.41975
CCDC74A	Fetal-SI	0.810744
CCR7	Adult-SI	0.876471
CCR7	D4CF	0.0258837
CCR7	ESC	0.0128866
CCR7	Endo	0.811562
CCR7	Fetal-SI	0.28351
CD160	Adult-SI	1.54331
CD160	D4CF	0.197128
CD160	ESC	0.341545
CD160	Endo	1.2306
CD160	Fetal-SI	0.594793
CD1D	Adult-SI	6.22937
CD1D	D4CF	0.274885
CD1D	ESC	0.307463
CD1D	Endo	2.60531
CD1D	Fetal-SI	1.71232
CD244	Adult-SI	1.605
CD244	D4CF	0.0528573
CD244	ESC	0
CD244	Endo	0.0357035
CD244	Fetal-SI	1.04312
CD28	Adult-SI	0.230657
CD28	D4CF	0
CD28	ESC	0.00361715
CD28	Endo	0
CD28	Fetal-SI	0.658823
CD2BP2	Adult-SI	27.7569
CD2BP2	D4CF	24.0897
CD2BP2	ESC	22.8088
CD2BP2	Endo	22.5574
CD2BP2	Fetal-SI	16.4218
CD69	Adult-SI	3.93859
CD69	D4CF	0.0669186
CD69	ESC	0.0190772
CD69	Endo	0.0175304
CD69	Fetal-SI	1.66951
CDC16	Adult-SI	33.0856
CDC16	D4CF	43.8048
CDC16	ESC	74.3445
CDC16	Endo	61.7751
CDC16	Fetal-SI	29.3753
CDC25B	Adult-SI	21.2176
CDC25B	D4CF	8.96279
CDC25B	ESC	10.4122
CDC25B	Endo	8.96891
CDC25B	Fetal-SI	11.4498
CDH13	Adult-SI	1.79466
CDH13	D4CF	3.97059
CDH13	ESC	1.08367
CDH13	Endo	3.62506
CDH13	Fetal-SI	10.1038
CDH3	Adult-SI	0.0813794
CDH3	D4CF	15.6837
CDH3	ESC	32.2133
CDH3	Endo	18.1179
CDH3	Fetal-SI	2.42573
CDK5R2	Adult-SI	0.581032
CDK5R2	D4CF	0.120458
CDK5R2	ESC	0.039874
CDK5R2	Endo	0.289225
CDK5R2	Fetal-SI	2.24584
CELF2	Adult-SI	4.58105
CELF2	D4CF	5.32629
CELF2	ESC	12.4579
CELF2	Endo	46.2846
CELF2	Fetal-SI	4.80043
CENPB	Adult-SI	68.0684
CENPB	D4CF	5.07342
CENPB	ESC	5.38983
CENPB	Endo	5.65912
CENPB	Fetal-SI	29.5409
CENPE	Adult-SI	1.59112
CENPE	D4CF	18.6596
CENPE	ESC	16.6012
CENPE	Endo	19.9015
CENPE	Fetal-SI	2.3549
CERCAM	Adult-SI	2.01096
CERCAM	D4CF	2.48984
CERCAM	ESC	0.788108
CERCAM	Endo	3.6007
CERCAM	Fetal-SI	7.46269
CERS1	Adult-SI	0.395553
CERS1	D4CF	5.60488
CERS1	ESC	2.54133
CERS1	Endo	1.16212
CERS1	Fetal-SI	2.48912
CETN1	Adult-SI	0
CETN1	D4CF	0
CETN1	ESC	0
CETN1	Endo	0
CETN1	Fetal-SI	0
CHAF1A	Adult-SI	6.79818
CHAF1A	D4CF	22.167
CHAF1A	ESC	34.5417
CHAF1A	Endo	16.8489
CHAF1A	Fetal-SI	5.77281
CHCHD4	Adult-SI	27.7685
CHCHD4	D4CF	11.6863
CHCHD4	ESC	18.324
CHCHD4	Endo	12.9528
CHCHD4	Fetal-SI	6.8902
CHD6	Adult-SI	3.08971
CHD6	D4CF	8.72107
CHD6	ESC	12.5129
CHD6	Endo	15.4051
CHD6	Fetal-SI	8.82849
CHGB	Adult-SI	7.83049
CHGB	D4CF	1.14287
CHGB	ESC	2.55047
CHGB	Endo	0.423782
CHGB	Fetal-SI	57.9821
CHN2	Adult-SI	64.9382
CHN2	D4CF	2.40651
CHN2	ESC	1.72017
CHN2	Endo	1.12509
CHN2	Fetal-SI	10.9666
CHRNA7	Adult-SI	1.27904
CHRNA7	D4CF	0.29578
CHRNA7	ESC	0.395619
CHRNA7	Endo	0.150228
CHRNA7	Fetal-SI	0.933124
CHST6	Adult-SI	6.46629
CHST6	D4CF	2.90618
CHST6	ESC	5.15327
CHST6	Endo	2.33385
CHST6	Fetal-SI	0.920212
CIDEB	Adult-SI	116.831
CIDEB	D4CF	10.5297
CIDEB	ESC	13.1763
CIDEB	Endo	12.4359
CIDEB	Fetal-SI	27.707
CIDECP	Adult-SI	12.2579
CIDECP	D4CF	1.67006
CIDECP	ESC	3.08926
CIDECP	Endo	2.67
CIDECP	Fetal-SI	5.48127
CISD3	Adult-SI	69.8745
CISD3	D4CF	0.993475
CISD3	ESC	1.29644
CISD3	Endo	1.05874
CISD3	Fetal-SI	14.5448
